Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;
Apartamento;Centro;1;0;0;36;1200.0;;
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;
Flat;Leblon;1;0;0;56;4500.0;1900.0;1500.0
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0
Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0
Quitinete;Copacabana;1;0;0;29;1200.0;460.0;
Casa;Benfica;1;0;0;33;1200.0;;
Quitinete;Glória;1;0;0;16;1400.0;300.0;210.0
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0
Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0
Apartamento;Barra da Tijuca;1;1;1;65;2350.0;;
Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0
Flat;Copacabana;1;1;0;63;3600.0;1215.0;
Flat;Leblon;1;0;1;50;4500.0;1300.0;150.0
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;
Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;
Apartamento;Cidade Nova;1;0;0;46;1000.0;;
Quitinete;Copacabana;1;0;0;23;1000.0;562.0;
Apartamento;Olaria;1;0;0;39;800.0;;
Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0
Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0
Quitinete;Centro;1;0;0;33;990.0;463.0;25.0
Flat;Arpoador;1;1;1;55;3000.0;1865.0;337.0
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0
Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0
Quitinete;Copacabana;1;0;0;26;1400.0;370.0;21.0
